"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH6"	
9.42775	431.3
8.68025	380.7
7.90275	329.4
7.12025	279.1
6.31025	228.3
5.49275	178.3
4.60525	128.1
3.7395	77.8
2.88525	27.52
2.0515	-22.25
1.19875	-73.67
0.33875	-124.6
-0.51075	-174.6
-1.425	-225.7
-2.30325	-275.8
-3.1815	-326.1
-4.11725	-377.4
-5.0405	-428.1
-5.954	-478.7
-6.87325	-528.9
-7.79225	-579.2
-8.72225	-629.8
-9.73475	-680.1
-10.89475	-730.4
-12.13725	-776.3
-13.33725	-807.1
-13.65225	-756.8
-13.48975	-706.6
-13.10225	-655.3
-12.49975	-604.8
-11.87475	-553.9
-11.20725	-503.9
-10.50725	-453.5
-9.74975	-401.5
-8.99475	-351.5
-8.21225	-300.8
-7.39225	-249.8
-6.556	-199
-5.67525	-148.8
-4.78825	-98.25
-3.86625	-47.61
-2.99575	2.982
-2.105325	52.84
-1.1306	103.8
-0.181	153.4
0.82575	203.8
1.8655	254.7
2.924	305.3
3.99225	355.7
5.09525	405.8
6.17525	456.3
7.26525	506.7
8.36025	557
9.45275	607.5
10.55275	657.5
11.73775	708.2
12.49275	738.2
12.67775	686.9
12.19025	636.1
11.52025	584.8
10.84525	534.7
10.09275	484
9.33525	432.6
8.59275	383
7.81025	332.4
7.00025	282.3
6.16525	231.6
5.26525	181
4.38275	130.5
3.48825	80.27
2.57725	29.4
1.693	-20.23
0.79375	-71.05
-0.13425	-121.3
-1.08805	-171.6
-2.034075	-221.7
-3.03025	-272.1
-4.07625	-322.6
-5.12075	-372.9
-6.175	-423.4
-7.23975	-474.1
-8.30725	-525.3
-9.36475	-576.2
-10.44475	-626.3
-11.53475	-676.4
-12.61975	-726.4
-13.33975	-758.1
-13.50975	-705.2
-12.92725	-655.2
-12.31475	-604.5
-11.64475	-553.5
-10.94725	-502.7
-10.24475	-452.4
-9.51725	-401.7
-8.75225	-351
-7.93225	-299.7
-7.1145	-249.8
-6.255	-198.6
-5.376	-147.7
-4.45575	-97.02
-3.5745	-47.11
-2.7114	3.486
-1.8195	54.13
-0.869	105.2
0.13325	155.5
1.131	206.1
2.15725	256.1
3.226	307.3
4.30775	357.3
5.41775	408.1
6.51525	458.7
7.63025	509.2
8.72275	559.3
9.82025	610.2
10.95275	660.9
12.10275	711.6
12.49025	727
12.67275	676.7
12.31775	624.9
11.67775	574.9
10.97775	524.2
10.23275	473.5
9.47775	422.6
8.70525	372.1
7.90025	322
7.05775	270.5
6.20775	220.2
5.30775	169.3
4.37775	119.5
3.44075	68.58
2.5485	18.03
1.613	-33.16
0.65775	-83.67
-0.284	-134.6
-1.25425	-184.9
-2.263975	-235.2
-3.28875	-285.4
-4.34825	-336
-5.423	-387
-6.513	-438.1
-7.60975	-488.6
-8.64975	-538.4
-9.74975	-588.8
-10.85475	-639.7
-11.94225	-689.8
-13.06225	-740.5
-13.33725	-752.1
-13.53975	-702.5
-13.11725	-649.6
-12.47975	-598.5
-11.84725	-548
-11.14225	-497
-10.40475	-445.7
-9.63225	-394.1
-8.84975	-343
-8.03975	-292.2
-7.19825	-241.6
-6.29575	-189.6
-5.34875	-137.4
-4.3935	-85.55
-3.48525	-34.45
-2.58745	15.37
-1.64725	67.2
-0.66045	118.8
0.33125	169.3
1.36225	220.7
2.43075	270.8
3.53525	322.5
4.67775	372.9
5.81025	424.1
6.95775	475.7
8.08275	526.2
9.19775	576.5
10.33025	628
11.44525	677.6
12.65275	729.7
13.91775	780.2
15.17275	817.3
16.43025	841.6
16.79025	849
16.99525	798.6
16.80025	742.5
16.41275	695.8
15.73775	644.1
15.02525	593.2
14.26775	541.7
13.51275	491.3
12.69275	440.9
11.83525	389
10.96275	338.8
10.05025	287.2
9.13775	237.2
8.12525	186.2
7.08025	135.4
6.04025	85.23
5.03525	34.68
3.98275	-15.6
2.866	-67.06
1.731	-118.3
0.54	-168.8
-0.640725	-219.9
-1.899575	-272.2
-3.0985	-322.8
-4.327	-373.4
-5.5135	-423.1
-6.782	-474.8
-8.00225	-526.4
-9.20225	-576.3
-10.42475	-627.4
-11.64225	-677.8
-12.84225	-728
-14.11975	-778.6
-15.40975	-821.6
-16.70725	-856.3
-17.64725	-876.1
-18.29475	-825.7
-18.09725	-775.1
-17.74225	-724
-17.05475	-672.5
-16.38725	-622.3
-15.66475	-571.7
-14.88225	-519.9
-14.07725	-468.7
-13.24475	-417.1
-12.41475	-364.9
-11.54475	-314.4
-10.63975	-262.9
-9.66475	-211.2
-8.65475	-160.7
-7.61475	-109.6
-6.53875	-57.84
-5.48775	-8.532
-4.36475	42.61
-3.15575	93.94
-1.950925	144.7
-0.672175	195
0.6005	244.7
1.852	291.1
3.1455	338.6
4.40775	383.7
5.67775	429.3
6.95275	475.3
8.21025	520.7
9.50525	567
10.78275	611.5
12.06275	656.6
13.34525	702.3
14.63775	747.5
15.91025	789.7
16.82525	817.8
17.15775	765.5
16.70775	713.6
16.03025	662.5
15.34775	613.3
14.59025	562
13.82775	511.5
13.02275	460.5
12.14775	408.5
11.25775	357
10.31025	305.6
9.37775	254.9
8.40775	203.7
7.39025	152.8
6.30775	101.7
5.26525	51.74
4.21025	1.651
3.0845	-50.37
1.879	-102.8
0.6365	-153.5
-0.61335	-204.2
-1.86175	-252
-3.1315	-301.6
-4.392	-349
-5.657	-395.8
-6.95475	-444
-8.22475	-490.4
-9.46725	-537
-10.73975	-583.1
-12.00225	-628.8
-13.26475	-673.6
-14.53975	-719.5
-15.79975	-766.9
-17.04475	-808.9
-17.64975	-828
-18.14975	-775.5
-17.47975	-724.2
-16.80975	-672.3
-16.09225	-620.8
-15.35225	-570.3
-14.57475	-520.1
-13.78975	-469.8
-12.98725	-419.6
-12.14475	-369.1
-11.30975	-319.1
-10.41975	-268.6
-9.48225	-217.7
-8.48225	-166.2
-7.40975	-114.7
-6.35475	-63.76
-5.28375	-13.26
-4.1685	38.39
-3	89.77
-1.789375	140.3
-0.5105	190.3
0.77425	240.7
2.07125	288.8
3.3155	334.9
4.60025	380.4
5.88525	425.4
7.15775	470.2
8.42025	515.3
9.68275	560.1
11.43775	621
12.70025	664.8
13.95775	708.9
15.24525	753.8
16.50775	796
16.83525	805.8
17.16025	755.8
16.94275	702.2
16.30025	650.5
15.59275	599.1
14.83025	547.6
14.07025	497.2
13.26525	446.7
12.39775	395.7
11.51275	345
10.58775	293.5
9.64775	242.9
8.58775	191.1
7.49025	139.3
6.37775	87.66
