Kowalsky & Moyer 2001 No.1	
18.426	80.09291192
18.447	80.03174894
18.467	77.73813749
18.467	74.61882592
18.426	71.53009583
18.426	68.5331102
18.467	65.47496159
18.467	62.1721611
18.447	59.17517547
18.143	55.96411944
17.758	52.87538935
17.232	49.72549629
17.009	46.60618471
16.239	44.25141029
15.47	40.39814305
14.984	37.30941296
14.336	34.06777544
13.627	31.5295121
13.04	28.22671161
12.352	24.86274814
11.582	21.6822736
10.813	18.50179905
10.064	15.47423193
9.395	12.44666481
8.525	9.602586614
7.735	6.452693553
7.067	3.211056033
6.257	-0.030581486
5.568	-3.119311575
4.941	-6.146878692
4.131	-9.32735324
3.321	-12.59957224
2.592	-15.74946531
1.903	-18.89935837
1.215	-22.07983291
0.405	-25.168563
-0.142	-28.13496715
-0.749	-30.88730089
-1.579	-34.67940516
-2.187	-37.67639079
-2.713	-40.55105048
-3.361	-44.0067584
-3.888	-46.82025511
-4.495	-50.27596304
-5.224	-53.36469312
-5.913	-56.20877133
-6.48	-59.20575696
-7.35	-62.50855745
-8.16	-65.81135794
-9.051	-68.80834357
-9.821	-71.89707366
-10.732	-75.13871118
-11.521	-78.07453384
-12.352	-81.46907879
-12.716	-82.5394308
-12.757	-82.5394308
-12.797	-82.44768634
-12.797	-82.47826783
-12.858	-82.47826783
-12.817	-82.5394308
-12.959	-82.5394308
-12.979	-82.44768634
-12.939	-82.50884931
-13	-82.47826783
-12.959	-82.50884931
-13	-82.38652337
-12.979	-81.53024176
-12.979	-78.62500059
-12.959	-75.41394455
-12.959	-72.35579595
-12.979	-69.29764735
-12.959	-66.17833577
-12.959	-62.99786122
-12.939	-60.00087559
-12.797	-56.9121455
-12.453	-53.76225244
-12.271	-50.67352235
-11.643	-48.56339982
-10.934	-45.07711041
-10.367	-41.3767506
-9.719	-38.50209091
-9.031	-35.13812745
-8.484	-32.14114182
-7.755	-29.81694888
-7.026	-25.8413557
-6.561	-23.02785898
-5.852	-19.63331403
-5.163	-16.60574691
-4.617	-13.97573912
-3.766	-10.39770525
-2.997	-7.339556648
-2.227	-4.617804391
-1.701	-1.039770525
-0.992	1.865470648
-0.182	4.556641419
0.648	8.195838256
1.458	11.28456835
2.288	14.220391
2.916	17.33970258
3.706	20.39785118
4.637	23.45599979
5.508	26.66705582
6.48	29.75578591
7.249	32.96684194
8.099	35.96382757
8.909	38.9608132
9.821	42.04954329
10.388	44.98536595
11.157	47.64595524
12.068	51.65212991
13.02	54.71027851
13.688	57.46261225
14.437	60.97948315
14.984	64.03763175
15.693	66.69822103
16.543	70.36799936
17.373	73.27324053
18.183	75.87266684
18.791	79.51186368
19.52	82.66175674
20.451	85.71990535
21.302	88.83921692
22.132	91.77503958
23.205	94.37446589
24.076	97.89133679
24.946	100.5519261
26.08	103.9158895
26.91	106.4235714
27.093	106.6988048
27.093	106.7293862
